Model,Dataset/Fold,Accuracy,Time,F1
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/0,0.8571428571428571,0.009982109069824219,0.8571428571428571
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/1,0.8666666666666667,0.003977775573730469,0.8666666666666667
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/2,0.7857142857142857,0.0030019283294677734,0.6914285714285714
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/3,0.8235294117647058,0.005059242248535156,0.8298039215686274
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/4,1.0,0.003997325897216797,1.0
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/5,0.8235294117647058,0.003999233245849609,0.8089249492900609
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/6,0.8666666666666667,0.004479646682739258,0.8666666666666667
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/7,0.8,0.002996683120727539,0.7840000000000001
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/8,0.75,0.003618001937866211,0.75
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/9,0.8125,0.004296064376831055,0.7972222222222223
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/0,0.7857142857142857,0.00432896614074707,0.768944099378882
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/1,0.9333333333333333,0.004999876022338867,0.9300207039337475
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/2,0.7857142857142857,0.004010677337646484,0.6914285714285714
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/3,0.7647058823529411,0.003998756408691406,0.7647058823529411
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/4,0.9375,0.004091978073120117,0.9324074074074074
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/5,0.8823529411764706,0.005059003829956055,0.8568627450980392
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/6,0.8666666666666667,0.006999015808105469,0.8666666666666667
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/7,0.8666666666666667,0.003998517990112305,0.8384615384615385
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/8,0.875,0.003999233245849609,0.875
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/9,0.875,0.0029990673065185547,0.8482142857142857
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/0,0.7857142857142857,0.0039997100830078125,0.6914285714285714
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/1,0.6,0.004080295562744141,0.55
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/2,0.7142857142857143,0.003008604049682617,0.6547619047619049
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/3,0.7647058823529411,0.003996372222900391,0.6627450980392158
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/4,0.8125,0.003995418548583984,0.728448275862069
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/5,0.7647058823529411,0.0029997825622558594,0.7137254901960784
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/6,0.8,0.003079652786254883,0.711111111111111
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/7,0.8,0.004068851470947266,0.711111111111111
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/8,0.75,0.0030450820922851562,0.6964285714285714
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/9,0.8125,0.0041959285736083984,0.728448275862069
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/0,0.7857142857142857,0.0040035247802734375,0.768944099378882
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/1,0.8666666666666667,0.0040225982666015625,0.8666666666666667
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/2,0.42857142857142855,0.0042514801025390625,0.47936507936507944
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/3,0.5882352941176471,0.005151271820068359,0.6184012066365008
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/4,1.0,0.003000020980834961,1.0
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/5,0.8235294117647058,0.004000663757324219,0.8328664799253033
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/6,0.8666666666666667,0.0031485557556152344,0.8772727272727272
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/7,0.8,0.0034554004669189453,0.7840000000000001
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/8,0.875,0.004236698150634766,0.875
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/9,0.5625,0.0070645809173583984,0.6098484848484849
