Model,Dataset/Fold,Accuracy,Time,F1
"SVM, kernel=linear, C=1.0",Mushroom/0,1.0,0.0,1.0
"SVM, kernel=linear, C=1.0",Mushroom/1,1.0,0.0,1.0
"SVM, kernel=linear, C=1.0",Mushroom/2,1.0,0.0,1.0
"SVM, kernel=linear, C=1.0",Mushroom/3,1.0,0.0,1.0
"SVM, kernel=linear, C=1.0",Mushroom/4,1.0,0.0,1.0
"SVM, kernel=linear, C=1.0",Mushroom/5,1.0,0.0,1.0
"SVM, kernel=linear, C=1.0",Mushroom/6,1.0,0.0,1.0
"SVM, kernel=linear, C=1.0",Mushroom/7,1.0,0.0025849342346191406,1.0
"SVM, kernel=linear, C=1.0",Mushroom/8,1.0,0.0,1.0
"SVM, kernel=linear, C=1.0",Mushroom/9,1.0,0.0,1.0
"SVM, kernel=linear, C=10.0",Mushroom/0,1.0,0.01570606231689453,1.0
"SVM, kernel=linear, C=10.0",Mushroom/1,1.0,0.01563429832458496,1.0
"SVM, kernel=linear, C=10.0",Mushroom/2,1.0,0.0,1.0
"SVM, kernel=linear, C=10.0",Mushroom/3,1.0,0.0,1.0
"SVM, kernel=linear, C=10.0",Mushroom/4,1.0,0.0,1.0
"SVM, kernel=linear, C=10.0",Mushroom/5,1.0,0.0,1.0
"SVM, kernel=linear, C=10.0",Mushroom/6,1.0,0.0,1.0
"SVM, kernel=linear, C=10.0",Mushroom/7,1.0,0.0,1.0
"SVM, kernel=linear, C=10.0",Mushroom/8,1.0,0.004433870315551758,1.0
"SVM, kernel=linear, C=10.0",Mushroom/9,1.0,0.0,1.0
"SVM, kernel=linear, C=100.0",Mushroom/0,1.0,0.0,1.0
"SVM, kernel=linear, C=100.0",Mushroom/1,1.0,0.0,1.0
"SVM, kernel=linear, C=100.0",Mushroom/2,1.0,0.01563572883605957,1.0
"SVM, kernel=linear, C=100.0",Mushroom/3,1.0,0.0,1.0
"SVM, kernel=linear, C=100.0",Mushroom/4,1.0,0.0,1.0
"SVM, kernel=linear, C=100.0",Mushroom/5,1.0,0.0,1.0
"SVM, kernel=linear, C=100.0",Mushroom/6,1.0,0.0,1.0
"SVM, kernel=linear, C=100.0",Mushroom/7,1.0,0.0,1.0
"SVM, kernel=linear, C=100.0",Mushroom/8,1.0,0.0,1.0
"SVM, kernel=linear, C=100.0",Mushroom/9,1.0,0.0,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/0,1.0,0.0,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/1,1.0,0.0,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/2,1.0,0.015637636184692383,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/3,1.0,0.0,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/4,1.0,0.0,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/5,1.0,0.003215312957763672,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/6,1.0,0.015633106231689453,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/7,1.0,0.0,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/8,1.0,0.0,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/9,1.0,0.0030074119567871094,1.0
"SVM, kernel=rbf, C=100.0",Mushroom/0,1.0,0.00900578498840332,1.0
"SVM, kernel=rbf, C=100.0",Mushroom/1,1.0,0.0,1.0
"SVM, kernel=rbf, C=100.0",Mushroom/2,1.0,0.0,1.0
"SVM, kernel=rbf, C=100.0",Mushroom/3,1.0,0.015630006790161133,1.0
"SVM, kernel=rbf, C=100.0",Mushroom/4,1.0,0.0,1.0
"SVM, kernel=rbf, C=100.0",Mushroom/5,1.0,0.0,1.0
"SVM, kernel=rbf, C=100.0",Mushroom/6,1.0,0.0,1.0
"SVM, kernel=rbf, C=100.0",Mushroom/7,1.0,0.0,1.0
"SVM, kernel=rbf, C=100.0",Mushroom/8,1.0,0.015623092651367188,1.0
"SVM, kernel=rbf, C=100.0",Mushroom/9,1.0,0.0,1.0
"SVM, kernel=poly, C=10.0",Mushroom/0,1.0,0.0,1.0
"SVM, kernel=poly, C=10.0",Mushroom/1,1.0,0.0,1.0
"SVM, kernel=poly, C=10.0",Mushroom/2,1.0,0.015542984008789062,1.0
"SVM, kernel=poly, C=10.0",Mushroom/3,1.0,0.0,1.0
"SVM, kernel=poly, C=10.0",Mushroom/4,1.0,0.0,1.0
"SVM, kernel=poly, C=10.0",Mushroom/5,1.0,0.0,1.0
"SVM, kernel=poly, C=10.0",Mushroom/6,1.0,0.0,1.0
"SVM, kernel=poly, C=10.0",Mushroom/7,1.0,0.0,1.0
"SVM, kernel=poly, C=10.0",Mushroom/8,1.0,0.0,1.0
"SVM, kernel=poly, C=10.0",Mushroom/9,1.0,0.0,1.0
"SVM, kernel=poly, C=100.0",Mushroom/0,1.0,0.0,1.0
"SVM, kernel=poly, C=100.0",Mushroom/1,1.0,0.0,1.0
"SVM, kernel=poly, C=100.0",Mushroom/2,1.0,0.0,1.0
"SVM, kernel=poly, C=100.0",Mushroom/3,1.0,0.0,1.0
"SVM, kernel=poly, C=100.0",Mushroom/4,1.0,0.0,1.0
"SVM, kernel=poly, C=100.0",Mushroom/5,1.0,0.0,1.0
"SVM, kernel=poly, C=100.0",Mushroom/6,1.0,0.0,1.0
"SVM, kernel=poly, C=100.0",Mushroom/7,1.0,0.01301264762878418,1.0
"SVM, kernel=poly, C=100.0",Mushroom/8,1.0,0.0,1.0
"SVM, kernel=poly, C=100.0",Mushroom/9,1.0,0.0,1.0
"SVM, kernel=rbf, C=1.0",Mushroom/0,0.9975339087546239,0.0,0.9974358974358974
"SVM, kernel=rbf, C=1.0",Mushroom/1,1.0,0.016058921813964844,1.0
"SVM, kernel=rbf, C=1.0",Mushroom/2,1.0,0.0,1.0
"SVM, kernel=rbf, C=1.0",Mushroom/3,1.0,0.01553487777709961,1.0
"SVM, kernel=rbf, C=1.0",Mushroom/4,0.9987684729064039,0.0,0.998719590268886
"SVM, kernel=rbf, C=1.0",Mushroom/5,0.9975339087546239,0.015623331069946289,0.9974358974358974
"SVM, kernel=rbf, C=1.0",Mushroom/6,1.0,0.010594844818115234,1.0
"SVM, kernel=rbf, C=1.0",Mushroom/7,1.0,0.01596355438232422,1.0
"SVM, kernel=rbf, C=1.0",Mushroom/8,1.0,0.0,1.0
"SVM, kernel=rbf, C=1.0",Mushroom/9,1.0,0.0,1.0
"SVM, kernel=poly, C=1.0",Mushroom/0,0.9950678175092479,0.0,0.9948586118251928
"SVM, kernel=poly, C=1.0",Mushroom/1,0.9987684729064039,0.0,0.9987228607918263
"SVM, kernel=poly, C=1.0",Mushroom/2,0.9987714987714987,0.0,0.9987228607918263
"SVM, kernel=poly, C=1.0",Mushroom/3,0.9975369458128078,0.0,0.9974424552429667
"SVM, kernel=poly, C=1.0",Mushroom/4,0.9963054187192119,0.0,0.9961489088575096
"SVM, kernel=poly, C=1.0",Mushroom/5,0.9963008631319359,0.0,0.9961489088575096
"SVM, kernel=poly, C=1.0",Mushroom/6,1.0,0.012512922286987305,1.0
"SVM, kernel=poly, C=1.0",Mushroom/7,0.9987684729064039,0.0,0.9987228607918263
"SVM, kernel=poly, C=1.0",Mushroom/8,0.9975429975429976,0.0,0.9974489795918368
"SVM, kernel=poly, C=1.0",Mushroom/9,0.9987684729064039,0.008599519729614258,0.998719590268886
"SVM, kernel=linear, C=0.1",Mushroom/0,0.9913686806411838,0.0,0.9909677419354839
"SVM, kernel=linear, C=0.1",Mushroom/1,0.9938423645320197,0.0,0.993581514762516
"SVM, kernel=linear, C=0.1",Mushroom/2,0.9889434889434889,0.0,0.9883870967741936
"SVM, kernel=linear, C=0.1",Mushroom/3,0.9926108374384236,0.0,0.9922879177377892
"SVM, kernel=linear, C=0.1",Mushroom/4,0.9938423645320197,0.0017938613891601562,0.9935649935649936
"SVM, kernel=linear, C=0.1",Mushroom/5,0.9913686806411838,0.0,0.9909677419354839
"SVM, kernel=linear, C=0.1",Mushroom/6,0.9987714987714987,0.0,0.998719590268886
"SVM, kernel=linear, C=0.1",Mushroom/7,0.9950738916256158,0.0,0.9948717948717949
"SVM, kernel=linear, C=0.1",Mushroom/8,0.9877149877149877,0.01570892333984375,0.9871134020618557
"SVM, kernel=linear, C=0.1",Mushroom/9,0.9864532019704434,0.0,0.9857328145265889
