Model,Dataset/Fold,Accuracy,Time,F1
"KNN, 1, euclidean_distance, equal_weight, majority_class",Hepatitis/0,0.7142857142857143,0.005154848098754883,0.7142857142857143
"KNN, 1, euclidean_distance, equal_weight, inverse_distance_weighted",Hepatitis/0,0.7142857142857143,0.0020606517791748047,0.7142857142857143
"KNN, 1, euclidean_distance, equal_weight, shepard",Hepatitis/0,0.7142857142857143,0.0030002593994140625,0.7142857142857143
"KNN, 1, manhattan_distance, equal_weight, majority_class",Hepatitis/0,0.7142857142857143,0.003998279571533203,0.7142857142857143
"KNN, 1, manhattan_distance, equal_weight, inverse_distance_weighted",Hepatitis/0,0.7142857142857143,0.0030736923217773438,0.7142857142857143
"KNN, 1, manhattan_distance, equal_weight, shepard",Hepatitis/0,0.7142857142857143,0.0030040740966796875,0.7142857142857143
"KNN, 1, clark_distance, equal_weight, majority_class",Hepatitis/0,0.6428571428571429,0.0053713321685791016,0.6598639455782312
"KNN, 1, clark_distance, equal_weight, inverse_distance_weighted",Hepatitis/0,0.6428571428571429,0.001991748809814453,0.6598639455782312
"KNN, 1, clark_distance, equal_weight, shepard",Hepatitis/0,0.6428571428571429,0.004232883453369141,0.6598639455782312
"KNN, 3, euclidean_distance, equal_weight, majority_class",Hepatitis/0,0.8571428571428571,0.004103422164916992,0.8571428571428571
"KNN, 3, euclidean_distance, equal_weight, inverse_distance_weighted",Hepatitis/0,0.8571428571428571,0.0022406578063964844,0.8571428571428571
"KNN, 3, euclidean_distance, equal_weight, shepard",Hepatitis/0,0.8571428571428571,0.002000570297241211,0.8571428571428571
"KNN, 3, manhattan_distance, equal_weight, majority_class",Hepatitis/0,0.8571428571428571,0.003988504409790039,0.8571428571428571
"KNN, 3, manhattan_distance, equal_weight, inverse_distance_weighted",Hepatitis/0,0.8571428571428571,0.0020990371704101562,0.8571428571428571
"KNN, 3, manhattan_distance, equal_weight, shepard",Hepatitis/0,0.8571428571428571,0.0020036697387695312,0.8571428571428571
"KNN, 3, clark_distance, equal_weight, majority_class",Hepatitis/0,0.8571428571428571,0.0031511783599853516,0.8571428571428571
"KNN, 3, clark_distance, equal_weight, inverse_distance_weighted",Hepatitis/0,0.8571428571428571,0.003002166748046875,0.8571428571428571
"KNN, 3, clark_distance, equal_weight, shepard",Hepatitis/0,0.8571428571428571,0.0022783279418945312,0.8571428571428571
"KNN, 5, euclidean_distance, equal_weight, majority_class",Hepatitis/0,0.8571428571428571,0.0049855709075927734,0.8571428571428571
"KNN, 5, euclidean_distance, equal_weight, inverse_distance_weighted",Hepatitis/0,0.8571428571428571,0.001995563507080078,0.8571428571428571
"KNN, 5, euclidean_distance, equal_weight, shepard",Hepatitis/0,0.8571428571428571,0.0019159317016601562,0.8571428571428571
"KNN, 5, manhattan_distance, equal_weight, majority_class",Hepatitis/0,0.8571428571428571,0.003160715103149414,0.8571428571428571
"KNN, 5, manhattan_distance, equal_weight, inverse_distance_weighted",Hepatitis/0,0.8571428571428571,0.002081632614135742,0.8571428571428571
