Model,Dataset/Fold,Reduction,Accuracy,Time,F1
"KNN, 1, euclidean_distance, equal_weight, majority_class, NONE",Hepatitis/0,None,0.7142857142857143,0.004011392593383789,0.7142857142857143
"KNN, 1, euclidean_distance, equal_weight, inverse_distance_weighted, NONE",Hepatitis/0,None,0.7142857142857143,0.0010302066802978516,0.7142857142857143
"KNN, 1, euclidean_distance, equal_weight, shepard, NONE",Hepatitis/0,None,0.7142857142857143,0.0010180473327636719,0.7142857142857143
"KNN, 1, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/0,None,0.7142857142857143,0.0020215511322021484,0.7142857142857143
"KNN, 1, manhattan_distance, equal_weight, inverse_distance_weighted, NONE",Hepatitis/0,None,0.7142857142857143,0.0010020732879638672,0.7142857142857143
"KNN, 1, manhattan_distance, equal_weight, shepard, NONE",Hepatitis/0,None,0.7142857142857143,0.001020193099975586,0.7142857142857143
"KNN, 1, clark_distance, equal_weight, majority_class, NONE",Hepatitis/0,None,0.6428571428571429,0.0022351741790771484,0.6598639455782312
"KNN, 1, clark_distance, equal_weight, inverse_distance_weighted, NONE",Hepatitis/0,None,0.6428571428571429,0.0011026859283447266,0.6598639455782312
"KNN, 1, clark_distance, equal_weight, shepard, NONE",Hepatitis/0,None,0.6428571428571429,0.001005411148071289,0.6598639455782312
"KNN, 3, euclidean_distance, equal_weight, majority_class, NONE",Hepatitis/0,None,0.8571428571428571,0.0022139549255371094,0.8571428571428571
"KNN, 3, euclidean_distance, equal_weight, inverse_distance_weighted, NONE",Hepatitis/0,None,0.8571428571428571,0.0010159015655517578,0.8571428571428571
"KNN, 3, euclidean_distance, equal_weight, shepard, NONE",Hepatitis/0,None,0.8571428571428571,0.001024007797241211,0.8571428571428571
"KNN, 3, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/0,None,0.8571428571428571,0.002122163772583008,0.8571428571428571
"KNN, 3, manhattan_distance, equal_weight, inverse_distance_weighted, NONE",Hepatitis/0,None,0.8571428571428571,0.001209259033203125,0.8571428571428571
"KNN, 3, manhattan_distance, equal_weight, shepard, NONE",Hepatitis/0,None,0.8571428571428571,0.0021126270294189453,0.8571428571428571
"KNN, 3, clark_distance, equal_weight, majority_class, NONE",Hepatitis/0,None,0.8571428571428571,0.0021965503692626953,0.8571428571428571
"KNN, 3, clark_distance, equal_weight, inverse_distance_weighted, NONE",Hepatitis/0,None,0.8571428571428571,0.0010056495666503906,0.8571428571428571
"KNN, 3, clark_distance, equal_weight, shepard, NONE",Hepatitis/0,None,0.8571428571428571,0.0010175704956054688,0.8571428571428571
"KNN, 5, euclidean_distance, equal_weight, majority_class, NONE",Hepatitis/0,None,0.8571428571428571,0.0022110939025878906,0.8571428571428571
"KNN, 5, euclidean_distance, equal_weight, inverse_distance_weighted, NONE",Hepatitis/0,None,0.8571428571428571,0.0010037422180175781,0.8571428571428571
"KNN, 5, euclidean_distance, equal_weight, shepard, NONE",Hepatitis/0,None,0.8571428571428571,0.0014984607696533203,0.8571428571428571
"KNN, 5, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/0,None,0.8571428571428571,0.002015829086303711,0.8571428571428571
"KNN, 5, manhattan_distance, equal_weight, inverse_distance_weighted, NONE",Hepatitis/0,None,0.8571428571428571,0.001993417739868164,0.8571428571428571
"KNN, 5, manhattan_distance, equal_weight, shepard, NONE",Hepatitis/0,None,0.8571428571428571,0.0009965896606445312,0.8571428571428571
"KNN, 5, clark_distance, equal_weight, majority_class, NONE",Hepatitis/0,None,0.8571428571428571,0.0009963512420654297,0.8571428571428571
"KNN, 5, clark_distance, equal_weight, inverse_distance_weighted, NONE",Hepatitis/0,None,0.8571428571428571,0.0009968280792236328,0.8571428571428571
"KNN, 5, clark_distance, equal_weight, shepard, NONE",Hepatitis/0,None,0.8571428571428571,0.0012547969818115234,0.8571428571428571
"KNN, 7, euclidean_distance, equal_weight, majority_class, NONE",Hepatitis/0,None,0.8571428571428571,0.0012054443359375,0.8571428571428571
"KNN, 7, euclidean_distance, equal_weight, inverse_distance_weighted, NONE",Hepatitis/0,None,0.8571428571428571,0.0011010169982910156,0.8571428571428571
"KNN, 7, euclidean_distance, equal_weight, shepard, NONE",Hepatitis/0,None,0.8571428571428571,0.0010218620300292969,0.8571428571428571
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/0,None,0.8571428571428571,0.0013158321380615234,0.8571428571428571
"KNN, 7, manhattan_distance, equal_weight, inverse_distance_weighted, NONE",Hepatitis/0,None,0.8571428571428571,0.0,0.8571428571428571
"KNN, 7, manhattan_distance, equal_weight, shepard, NONE",Hepatitis/0,None,0.8571428571428571,0.0010647773742675781,0.8571428571428571
"KNN, 7, clark_distance, equal_weight, majority_class, NONE",Hepatitis/0,None,0.8571428571428571,0.0013697147369384766,0.8571428571428571
"KNN, 7, clark_distance, equal_weight, inverse_distance_weighted, NONE",Hepatitis/0,None,0.8571428571428571,0.002480745315551758,0.8571428571428571
"KNN, 7, clark_distance, equal_weight, shepard, NONE",Hepatitis/0,None,0.8571428571428571,0.0010139942169189453,0.8571428571428571
"KNN, 1, euclidean_distance, information_gain_weight, majority_class, NONE",Hepatitis/0,None,0.7857142857142857,0.0010066032409667969,0.768944099378882
"KNN, 1, euclidean_distance, information_gain_weight, inverse_distance_weighted, NONE",Hepatitis/0,None,0.7857142857142857,0.002443552017211914,0.768944099378882
"KNN, 1, euclidean_distance, information_gain_weight, shepard, NONE",Hepatitis/0,None,0.7857142857142857,0.0010094642639160156,0.768944099378882
"KNN, 1, manhattan_distance, information_gain_weight, majority_class, NONE",Hepatitis/0,None,0.8571428571428571,0.0010044574737548828,0.8273809523809523
"KNN, 1, manhattan_distance, information_gain_weight, inverse_distance_weighted, NONE",Hepatitis/0,None,0.8571428571428571,0.0020308494567871094,0.8273809523809523
"KNN, 1, manhattan_distance, information_gain_weight, shepard, NONE",Hepatitis/0,None,0.8571428571428571,0.0011432170867919922,0.8273809523809523
"KNN, 1, clark_distance, information_gain_weight, majority_class, NONE",Hepatitis/0,None,0.7857142857142857,0.002092123031616211,0.768944099378882
"KNN, 1, clark_distance, information_gain_weight, inverse_distance_weighted, NONE",Hepatitis/0,None,0.7857142857142857,0.0013000965118408203,0.768944099378882
"KNN, 1, clark_distance, information_gain_weight, shepard, NONE",Hepatitis/0,None,0.7857142857142857,0.001421213150024414,0.768944099378882
"KNN, 3, euclidean_distance, information_gain_weight, majority_class, NONE",Hepatitis/0,None,0.7857142857142857,0.0020678043365478516,0.768944099378882
"KNN, 3, euclidean_distance, information_gain_weight, inverse_distance_weighted, NONE",Hepatitis/0,None,0.7857142857142857,0.0010406970977783203,0.768944099378882
"KNN, 3, euclidean_distance, information_gain_weight, shepard, NONE",Hepatitis/0,None,0.7857142857142857,0.0014431476593017578,0.768944099378882
"KNN, 3, manhattan_distance, information_gain_weight, majority_class, NONE",Hepatitis/0,None,0.7857142857142857,0.0011644363403320312,0.768944099378882
"KNN, 3, manhattan_distance, information_gain_weight, inverse_distance_weighted, NONE",Hepatitis/0,None,0.7857142857142857,0.0009970664978027344,0.768944099378882
"KNN, 3, manhattan_distance, information_gain_weight, shepard, NONE",Hepatitis/0,None,0.7857142857142857,0.0010628700256347656,0.768944099378882
"KNN, 3, clark_distance, information_gain_weight, majority_class, NONE",Hepatitis/0,None,0.7142857142857143,0.002132892608642578,0.6547619047619049
"KNN, 3, clark_distance, information_gain_weight, inverse_distance_weighted, NONE",Hepatitis/0,None,0.7142857142857143,0.0010066032409667969,0.6547619047619049
"KNN, 3, clark_distance, information_gain_weight, shepard, NONE",Hepatitis/0,None,0.7142857142857143,0.0022742748260498047,0.6547619047619049
"KNN, 5, euclidean_distance, information_gain_weight, majority_class, NONE",Hepatitis/0,None,0.8571428571428571,0.002087831497192383,0.8571428571428571
"KNN, 5, euclidean_distance, information_gain_weight, inverse_distance_weighted, NONE",Hepatitis/0,None,0.8571428571428571,0.002020597457885742,0.8571428571428571
"KNN, 5, euclidean_distance, information_gain_weight, shepard, NONE",Hepatitis/0,None,0.8571428571428571,0.00106048583984375,0.8571428571428571
"KNN, 5, manhattan_distance, information_gain_weight, majority_class, NONE",Hepatitis/0,None,0.7857142857142857,0.0011391639709472656,0.768944099378882
"KNN, 5, manhattan_distance, information_gain_weight, inverse_distance_weighted, NONE",Hepatitis/0,None,0.7857142857142857,0.001390218734741211,0.768944099378882
"KNN, 5, manhattan_distance, information_gain_weight, shepard, NONE",Hepatitis/0,None,0.7857142857142857,0.0010733604431152344,0.768944099378882
"KNN, 5, clark_distance, information_gain_weight, majority_class, NONE",Hepatitis/0,None,0.7857142857142857,0.002202272415161133,0.6914285714285714
"KNN, 5, clark_distance, information_gain_weight, inverse_distance_weighted, NONE",Hepatitis/0,None,0.7857142857142857,0.001168966293334961,0.6914285714285714
"KNN, 5, clark_distance, information_gain_weight, shepard, NONE",Hepatitis/0,None,0.7857142857142857,0.0014195442199707031,0.6914285714285714
"KNN, 7, euclidean_distance, information_gain_weight, majority_class, NONE",Hepatitis/0,None,0.7857142857142857,0.0021944046020507812,0.7959183673469388
"KNN, 7, euclidean_distance, information_gain_weight, inverse_distance_weighted, NONE",Hepatitis/0,None,0.7857142857142857,0.0009965896606445312,0.7959183673469388
"KNN, 7, euclidean_distance, information_gain_weight, shepard, NONE",Hepatitis/0,None,0.7857142857142857,0.001020669937133789,0.7959183673469388
"KNN, 7, manhattan_distance, information_gain_weight, majority_class, NONE",Hepatitis/0,None,0.7857142857142857,0.0010237693786621094,0.768944099378882
"KNN, 7, manhattan_distance, information_gain_weight, inverse_distance_weighted, NONE",Hepatitis/0,None,0.7857142857142857,0.0020797252655029297,0.768944099378882
"KNN, 7, manhattan_distance, information_gain_weight, shepard, NONE",Hepatitis/0,None,0.7857142857142857,0.001058816909790039,0.768944099378882
"KNN, 7, clark_distance, information_gain_weight, majority_class, NONE",Hepatitis/0,None,0.7857142857142857,0.0020940303802490234,0.6914285714285714
"KNN, 7, clark_distance, information_gain_weight, inverse_distance_weighted, NONE",Hepatitis/0,None,0.7857142857142857,0.0011165142059326172,0.6914285714285714
"KNN, 7, clark_distance, information_gain_weight, shepard, NONE",Hepatitis/0,None,0.7857142857142857,0.001135110855102539,0.6914285714285714
"KNN, 1, euclidean_distance, reliefF_weight, majority_class, NONE",Hepatitis/0,None,0.7857142857142857,0.0019931793212890625,0.7959183673469388
"KNN, 1, euclidean_distance, reliefF_weight, inverse_distance_weighted, NONE",Hepatitis/0,None,0.7857142857142857,0.001992940902709961,0.7959183673469388
