Model,Dataset/Fold,Accuracy,Time,F1
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/0,0.8571428571428571,0.003998517990112305,0.8571428571428571
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/1,0.8666666666666667,0.00422215461730957,0.8666666666666667
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/2,0.7857142857142857,0.00415349006652832,0.6914285714285714
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/3,0.7647058823529411,0.0050694942474365234,0.7647058823529411
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/4,1.0,0.004064083099365234,1.0
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/5,0.8235294117647058,0.005000114440917969,0.8089249492900609
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/6,0.8666666666666667,0.0042302608489990234,0.8666666666666667
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/7,0.8666666666666667,0.003993511199951172,0.8384615384615385
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/8,0.875,0.003999471664428711,0.8854166666666666
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/9,0.8125,0.003993034362792969,0.7972222222222223
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/0,0.7142857142857143,0.005675792694091797,0.6547619047619049
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/1,0.9333333333333333,0.003412485122680664,0.9300207039337475
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/2,0.7857142857142857,0.0042269229888916016,0.6914285714285714
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/3,0.6470588235294118,0.005018949508666992,0.6008403361344538
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/4,1.0,0.004168033599853516,1.0
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/5,0.7058823529411765,0.0039980411529541016,0.6815415821501014
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/6,0.8666666666666667,0.005081892013549805,0.8666666666666667
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/7,0.8666666666666667,0.00399470329284668,0.8384615384615385
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/8,0.75,0.004006624221801758,0.6964285714285714
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/9,0.875,0.004091024398803711,0.8482142857142857
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/0,0.7857142857142857,0.0040056705474853516,0.6914285714285714
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/1,0.7333333333333333,0.0029964447021484375,0.6205128205128205
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/2,0.7857142857142857,0.0029981136322021484,0.6914285714285714
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/3,0.23529411764705882,0.003003358840942383,0.0896358543417367
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/4,0.8125,0.0030012130737304688,0.728448275862069
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/5,0.8235294117647058,0.00407719612121582,0.7438330170777988
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/6,0.8,0.004060268402099609,0.711111111111111
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/7,0.8,0.004918098449707031,0.711111111111111
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/8,0.8125,0.003996133804321289,0.728448275862069
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/9,0.8125,0.005003213882446289,0.728448275862069
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/0,0.7857142857142857,0.0030121803283691406,0.6914285714285714
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/1,0.7333333333333333,0.003304719924926758,0.6205128205128205
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/2,0.7857142857142857,0.0029985904693603516,0.6914285714285714
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/3,0.7647058823529411,0.003999233245849609,0.6627450980392158
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/4,0.8125,0.004291057586669922,0.728448275862069
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/5,0.8235294117647058,0.0046291351318359375,0.7438330170777988
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/6,0.8,0.003999471664428711,0.711111111111111
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/7,0.8,0.003000020980834961,0.711111111111111
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/8,0.8125,0.003996372222900391,0.728448275862069
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/9,0.8125,0.004997730255126953,0.728448275862069
