Model,Dataset/Fold,reduction_method,Accuracy,Time,F1
"SVM, kernel=sigmoid, C=100.0",Hepatitis/0,,0.8571428571428571,0.0011692047119140625,0.9090909090909091
"SVM, kernel=sigmoid, C=100.0",Hepatitis/1,,0.6666666666666666,0.0011639595031738281,0.8
"SVM, kernel=sigmoid, C=100.0",Hepatitis/2,,0.7857142857142857,0.0,0.8695652173913043
"SVM, kernel=sigmoid, C=100.0",Hepatitis/3,,0.8823529411764706,0.0011110305786132812,0.9230769230769231
"SVM, kernel=sigmoid, C=100.0",Hepatitis/4,,1.0,0.0016930103302001953,1.0
"SVM, kernel=sigmoid, C=100.0",Hepatitis/5,,0.8235294117647058,0.0009829998016357422,0.8888888888888888
"SVM, kernel=sigmoid, C=100.0",Hepatitis/6,,1.0,0.0,1.0
"SVM, kernel=sigmoid, C=100.0",Hepatitis/7,,0.8666666666666667,0.0009837150573730469,0.9230769230769231
"SVM, kernel=sigmoid, C=100.0",Hepatitis/8,,0.8125,0.0010552406311035156,0.8888888888888888
"SVM, kernel=sigmoid, C=100.0",Hepatitis/9,,0.8125,0.00128936767578125,0.88
"SVM, kernel=poly, C=10.0",Hepatitis/0,,0.8571428571428571,0.0005064010620117188,0.9090909090909091
"SVM, kernel=poly, C=10.0",Hepatitis/1,,0.8666666666666667,0.0005702972412109375,0.9090909090909091
"SVM, kernel=poly, C=10.0",Hepatitis/2,,0.7142857142857143,0.0013661384582519531,0.8333333333333334
"SVM, kernel=poly, C=10.0",Hepatitis/3,,0.7058823529411765,0.0010516643524169922,0.8148148148148148
"SVM, kernel=poly, C=10.0",Hepatitis/4,,1.0,0.0012536048889160156,1.0
"SVM, kernel=poly, C=10.0",Hepatitis/5,,0.8235294117647058,0.000997781753540039,0.896551724137931
"SVM, kernel=poly, C=10.0",Hepatitis/6,,0.9333333333333333,0.0017747879028320312,0.9565217391304348
"SVM, kernel=poly, C=10.0",Hepatitis/7,,0.8666666666666667,0.0,0.9230769230769231
"SVM, kernel=poly, C=10.0",Hepatitis/8,,0.8125,0.0014963150024414062,0.88
"SVM, kernel=poly, C=10.0",Hepatitis/9,,0.875,0.0010137557983398438,0.9285714285714286
"SVM, kernel=sigmoid, C=10.0",Hepatitis/0,,0.8571428571428571,0.0010535717010498047,0.9090909090909091
"SVM, kernel=sigmoid, C=10.0",Hepatitis/1,,0.8666666666666667,0.0010006427764892578,0.9090909090909091
"SVM, kernel=sigmoid, C=10.0",Hepatitis/2,,0.7142857142857143,0.0,0.8333333333333334
"SVM, kernel=sigmoid, C=10.0",Hepatitis/3,,0.7647058823529411,0.0,0.8461538461538461
"SVM, kernel=sigmoid, C=10.0",Hepatitis/4,,1.0,0.0012547969818115234,1.0
"SVM, kernel=sigmoid, C=10.0",Hepatitis/5,,0.6470588235294118,0.0010001659393310547,0.7857142857142857
"SVM, kernel=sigmoid, C=10.0",Hepatitis/6,,0.9333333333333333,0.0010001659393310547,0.9565217391304348
"SVM, kernel=sigmoid, C=10.0",Hepatitis/7,,0.8666666666666667,0.0019342899322509766,0.9230769230769231
"SVM, kernel=sigmoid, C=10.0",Hepatitis/8,,0.8125,0.0,0.88
"SVM, kernel=sigmoid, C=10.0",Hepatitis/9,,0.9375,0.0010006427764892578,0.9629629629629629
"SVM, kernel=linear, C=1.0",Hepatitis/0,,0.8571428571428571,0.0010001659393310547,0.9090909090909091
"SVM, kernel=linear, C=1.0",Hepatitis/1,,0.8,0.0010008811950683594,0.8695652173913043
"SVM, kernel=linear, C=1.0",Hepatitis/2,,0.7142857142857143,0.0009996891021728516,0.8333333333333334
"SVM, kernel=linear, C=1.0",Hepatitis/3,,0.8235294117647058,0.0009734630584716797,0.88
"SVM, kernel=linear, C=1.0",Hepatitis/4,,1.0,0.002002716064453125,1.0
"SVM, kernel=linear, C=1.0",Hepatitis/5,,0.6470588235294118,0.0010001659393310547,0.7857142857142857
"SVM, kernel=linear, C=1.0",Hepatitis/6,,0.9333333333333333,0.00202178955078125,0.9565217391304348
"SVM, kernel=linear, C=1.0",Hepatitis/7,,0.8,0.0009965896606445312,0.88
"SVM, kernel=linear, C=1.0",Hepatitis/8,,0.75,0.0,0.8461538461538461
"SVM, kernel=linear, C=1.0",Hepatitis/9,,0.9375,0.0,0.9629629629629629
"SVM, kernel=rbf, C=10.0",Hepatitis/0,,0.8571428571428571,0.0,0.9090909090909091
"SVM, kernel=rbf, C=10.0",Hepatitis/1,,0.8,0.0012362003326416016,0.8695652173913043
"SVM, kernel=rbf, C=10.0",Hepatitis/2,,0.7142857142857143,0.0005598068237304688,0.8333333333333334
"SVM, kernel=rbf, C=10.0",Hepatitis/3,,0.7647058823529411,0.0,0.8461538461538461
"SVM, kernel=rbf, C=10.0",Hepatitis/4,,1.0,0.0009987354278564453,1.0
"SVM, kernel=rbf, C=10.0",Hepatitis/5,,0.7058823529411765,0.0010533332824707031,0.8148148148148148
"SVM, kernel=rbf, C=10.0",Hepatitis/6,,0.9333333333333333,0.0009789466857910156,0.9565217391304348
"SVM, kernel=rbf, C=10.0",Hepatitis/7,,0.8,0.0,0.88
"SVM, kernel=rbf, C=10.0",Hepatitis/8,,0.8125,0.0010554790496826172,0.88
"SVM, kernel=rbf, C=10.0",Hepatitis/9,,0.875,0.0009865760803222656,0.9285714285714286
