Model,Dataset/Fold,Accuracy,Time,F1
"SVM, kernel=sigmoid, C=100.0EENTH",Hepatitis/0,0.8571428571428571,0.0010001659393310547,0.9090909090909091
"SVM, kernel=sigmoid, C=100.0EENTH",Hepatitis/1,0.8666666666666667,0.0010006427764892578,0.9090909090909091
"SVM, kernel=sigmoid, C=100.0EENTH",Hepatitis/2,0.7857142857142857,0.0010061264038085938,0.8695652173913043
"SVM, kernel=sigmoid, C=100.0EENTH",Hepatitis/3,0.7058823529411765,0.0,0.8
"SVM, kernel=sigmoid, C=100.0EENTH",Hepatitis/4,1.0,0.0009996891021728516,1.0
"SVM, kernel=sigmoid, C=100.0EENTH",Hepatitis/5,0.7647058823529411,0.0010001659393310547,0.8666666666666667
"SVM, kernel=sigmoid, C=100.0EENTH",Hepatitis/6,0.8,0.0010116100311279297,0.88
"SVM, kernel=sigmoid, C=100.0EENTH",Hepatitis/7,0.8666666666666667,0.0005490779876708984,0.9230769230769231
"SVM, kernel=sigmoid, C=100.0EENTH",Hepatitis/8,0.875,0.0,0.9230769230769231
"SVM, kernel=sigmoid, C=100.0EENTH",Hepatitis/9,1.0,0.0009999275207519531,1.0
"SVM, kernel=sigmoid, C=100.0GCNN",Hepatitis/0,0.8571428571428571,0.0013043880462646484,0.9090909090909091
"SVM, kernel=sigmoid, C=100.0GCNN",Hepatitis/1,0.7333333333333333,0.0010099411010742188,0.8181818181818182
"SVM, kernel=sigmoid, C=100.0GCNN",Hepatitis/2,0.7857142857142857,0.0010094642639160156,0.88
"SVM, kernel=sigmoid, C=100.0GCNN",Hepatitis/3,0.5294117647058824,0.0009992122650146484,0.5555555555555556
"SVM, kernel=sigmoid, C=100.0GCNN",Hepatitis/4,0.625,0.0,0.7
"SVM, kernel=sigmoid, C=100.0GCNN",Hepatitis/5,0.47058823529411764,0.0009906291961669922,0.64
"SVM, kernel=sigmoid, C=100.0GCNN",Hepatitis/6,0.5333333333333333,0.0005269050598144531,0.631578947368421
"SVM, kernel=sigmoid, C=100.0GCNN",Hepatitis/7,0.5333333333333333,0.001039266586303711,0.631578947368421
"SVM, kernel=sigmoid, C=100.0GCNN",Hepatitis/8,0.6875,0.0020101070404052734,0.782608695652174
"SVM, kernel=sigmoid, C=100.0GCNN",Hepatitis/9,0.6875,0.0009999275207519531,0.7619047619047619
"SVM, kernel=sigmoid, C=100.0DROP3",Hepatitis/0,0.6428571428571429,0.0010981559753417969,0.7368421052631579
"SVM, kernel=sigmoid, C=100.0DROP3",Hepatitis/1,0.8,0.001916646957397461,0.8571428571428571
"SVM, kernel=sigmoid, C=100.0DROP3",Hepatitis/2,0.7142857142857143,0.0009980201721191406,0.8333333333333334
"SVM, kernel=sigmoid, C=100.0DROP3",Hepatitis/3,0.7058823529411765,0.0016431808471679688,0.8148148148148148
"SVM, kernel=sigmoid, C=100.0DROP3",Hepatitis/4,1.0,0.001615762710571289,1.0
"SVM, kernel=sigmoid, C=100.0DROP3",Hepatitis/5,0.6470588235294118,0.0009996891021728516,0.7857142857142857
"SVM, kernel=sigmoid, C=100.0DROP3",Hepatitis/6,0.8666666666666667,0.0,0.9090909090909091
"SVM, kernel=sigmoid, C=100.0DROP3",Hepatitis/7,0.8,0.0010001659393310547,0.88
"SVM, kernel=sigmoid, C=100.0DROP3",Hepatitis/8,0.8125,0.00099945068359375,0.88
"SVM, kernel=sigmoid, C=100.0DROP3",Hepatitis/9,0.875,0.0,0.9166666666666666
