Model,Dataset/Fold,Accuracy,Time,F1
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/0,0.8571428571428571,0.0029790401458740234,0.8571428571428571
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/1,0.8666666666666667,0.00201416015625,0.8666666666666667
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/2,0.7857142857142857,0.0020694732666015625,0.6914285714285714
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/3,0.8235294117647058,0.0020008087158203125,0.8298039215686274
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/4,1.0,0.0009999275207519531,1.0
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/5,0.8235294117647058,0.0020914077758789062,0.8089249492900609
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/6,0.8666666666666667,0.0020329952239990234,0.8666666666666667
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/7,0.8,0.0009992122650146484,0.7840000000000001
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/8,0.75,0.002074718475341797,0.75
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Hepatitis/9,0.8125,0.0020341873168945312,0.7972222222222223
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/0,0.8571428571428571,0.0010004043579101562,0.8571428571428571
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/1,0.8666666666666667,0.0009999275207519531,0.8666666666666667
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/2,0.7142857142857143,0.001999378204345703,0.6547619047619049
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/3,0.7647058823529411,0.002002716064453125,0.7647058823529411
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/4,1.0,0.001999378204345703,1.0
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/5,0.7647058823529411,0.002532482147216797,0.7647058823529411
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/6,0.8666666666666667,0.002000093460083008,0.8666666666666667
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/7,0.8,0.0019996166229248047,0.7840000000000001
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/8,0.875,0.0009992122650146484,0.875
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Hepatitis/9,0.8125,0.0010001659393310547,0.7972222222222223
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/0,0.7857142857142857,0.0010004043579101562,0.6914285714285714
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/1,0.7333333333333333,0.002001523971557617,0.6205128205128205
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/2,0.7857142857142857,0.0020105838775634766,0.6914285714285714
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/3,0.7647058823529411,0.0010018348693847656,0.6627450980392158
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/4,0.8125,0.0019986629486083984,0.728448275862069
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/5,0.8235294117647058,0.0020089149475097656,0.7438330170777988
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/6,0.8,0.0010075569152832031,0.711111111111111
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/7,0.8,0.0019981861114501953,0.711111111111111
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/8,0.8125,0.0020112991333007812,0.728448275862069
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Hepatitis/9,0.1875,0.0019991397857666016,0.05921052631578947
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/0,0.21428571428571427,0.0009999275207519531,0.07563025210084033
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/1,0.26666666666666666,0.002001047134399414,0.11228070175438595
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/2,0.21428571428571427,0.0009980201721191406,0.07563025210084033
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/3,0.23529411764705882,0.002025604248046875,0.0896358543417367
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/4,0.1875,0.0010073184967041016,0.05921052631578947
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/5,0.17647058823529413,0.0020203590393066406,0.05294117647058823
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/6,0.2,0.0009922981262207031,0.06666666666666667
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/7,0.2,0.0010292530059814453,0.06666666666666667
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/8,0.1875,0.0009999275207519531,0.05921052631578947
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Hepatitis/9,0.1875,0.0021169185638427734,0.05921052631578947
