Model,Dataset/Fold,Accuracy,Time,F1
"SVM, kernel=linear, C=1.0",Mushroom/0,1.0,0.009281635284423828,1.0
"SVM, kernel=linear, C=1.0",Mushroom/1,1.0,0.002993345260620117,1.0
"SVM, kernel=linear, C=1.0",Mushroom/2,1.0,0.003461122512817383,1.0
"SVM, kernel=linear, C=1.0",Mushroom/3,1.0,0.002864360809326172,1.0
"SVM, kernel=linear, C=1.0",Mushroom/4,1.0,0.008719205856323242,1.0
"SVM, kernel=linear, C=1.0",Mushroom/5,1.0,0.002562284469604492,1.0
"SVM, kernel=linear, C=1.0",Mushroom/6,1.0,0.0030798912048339844,1.0
"SVM, kernel=linear, C=1.0",Mushroom/7,1.0,0.005605936050415039,1.0
"SVM, kernel=linear, C=1.0",Mushroom/8,1.0,0.003053426742553711,1.0
"SVM, kernel=linear, C=1.0",Mushroom/9,1.0,0.004010915756225586,1.0
"SVM, kernel=linear, C=10.0",Mushroom/0,1.0,0.0027086734771728516,1.0
"SVM, kernel=linear, C=10.0",Mushroom/1,1.0,0.0029997825622558594,1.0
"SVM, kernel=linear, C=10.0",Mushroom/2,1.0,0.002507925033569336,1.0
"SVM, kernel=linear, C=10.0",Mushroom/3,1.0,0.002907276153564453,1.0
"SVM, kernel=linear, C=10.0",Mushroom/4,1.0,0.003781557083129883,1.0
"SVM, kernel=linear, C=10.0",Mushroom/5,1.0,0.0031495094299316406,1.0
"SVM, kernel=linear, C=10.0",Mushroom/6,1.0,0.0030944347381591797,1.0
"SVM, kernel=linear, C=10.0",Mushroom/7,1.0,0.0042345523834228516,1.0
"SVM, kernel=linear, C=10.0",Mushroom/8,1.0,0.0037457942962646484,1.0
"SVM, kernel=linear, C=10.0",Mushroom/9,1.0,0.0022797584533691406,1.0
"SVM, kernel=linear, C=100.0",Mushroom/0,1.0,0.005299091339111328,1.0
"SVM, kernel=linear, C=100.0",Mushroom/1,1.0,0.0035562515258789062,1.0
"SVM, kernel=linear, C=100.0",Mushroom/2,1.0,0.0025148391723632812,1.0
"SVM, kernel=linear, C=100.0",Mushroom/3,1.0,0.003001689910888672,1.0
"SVM, kernel=linear, C=100.0",Mushroom/4,1.0,0.003014087677001953,1.0
"SVM, kernel=linear, C=100.0",Mushroom/5,1.0,0.0020453929901123047,1.0
"SVM, kernel=linear, C=100.0",Mushroom/6,1.0,0.0031075477600097656,1.0
"SVM, kernel=linear, C=100.0",Mushroom/7,1.0,0.003231525421142578,1.0
"SVM, kernel=linear, C=100.0",Mushroom/8,1.0,0.00938558578491211,1.0
"SVM, kernel=linear, C=100.0",Mushroom/9,1.0,0.004359006881713867,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/0,1.0,0.007164716720581055,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/1,1.0,0.007170200347900391,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/2,1.0,0.008016586303710938,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/3,1.0,0.0069942474365234375,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/4,1.0,0.005785226821899414,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/5,1.0,0.010434627532958984,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/6,1.0,0.006878852844238281,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/7,1.0,0.008012533187866211,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/8,1.0,0.008874654769897461,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/9,1.0,0.008920431137084961,1.0
"SVM, kernel=rbf, C=100.0",Mushroom/0,1.0,0.006622791290283203,1.0
"SVM, kernel=rbf, C=100.0",Mushroom/1,1.0,0.008891105651855469,1.0
"SVM, kernel=rbf, C=100.0",Mushroom/2,1.0,0.007912158966064453,1.0
"SVM, kernel=rbf, C=100.0",Mushroom/3,1.0,0.0076427459716796875,1.0
"SVM, kernel=rbf, C=100.0",Mushroom/4,1.0,0.010556221008300781,1.0
"SVM, kernel=rbf, C=100.0",Mushroom/5,1.0,0.005936861038208008,1.0
"SVM, kernel=rbf, C=100.0",Mushroom/6,1.0,0.013464927673339844,1.0
"SVM, kernel=rbf, C=100.0",Mushroom/7,1.0,0.0065364837646484375,1.0
"SVM, kernel=rbf, C=100.0",Mushroom/8,1.0,0.009934663772583008,1.0
"SVM, kernel=rbf, C=100.0",Mushroom/9,1.0,0.01307535171508789,1.0
