Model,Dataset/Fold,Accuracy,Time,F1
"SVM, kernel=linear, C=1.0, NONE",Mushroom/0,1.0,0.00826120376586914,1.0
"SVM, kernel=linear, C=1.0, NONE",Mushroom/1,1.0,0.005004405975341797,1.0
"SVM, kernel=linear, C=1.0, NONE",Mushroom/2,1.0,0.003000020980834961,1.0
"SVM, kernel=linear, C=1.0, NONE",Mushroom/3,1.0,0.002007722854614258,1.0
"SVM, kernel=linear, C=1.0, NONE",Mushroom/4,1.0,0.009557008743286133,1.0
"SVM, kernel=linear, C=1.0, NONE",Mushroom/5,1.0,0.0040853023529052734,1.0
"SVM, kernel=linear, C=1.0, NONE",Mushroom/6,1.0,0.002674579620361328,1.0
"SVM, kernel=linear, C=1.0, NONE",Mushroom/7,1.0,0.0030879974365234375,1.0
"SVM, kernel=linear, C=1.0, NONE",Mushroom/8,1.0,0.003438234329223633,1.0
"SVM, kernel=linear, C=1.0, NONE",Mushroom/9,1.0,0.002676248550415039,1.0
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/0,0.9975339087546239,0.0020008087158203125,0.9974358974358974
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/1,1.0,0.002657175064086914,1.0
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/2,1.0,0.0019960403442382812,1.0
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/3,0.9975369458128078,0.0022683143615722656,0.9974424552429667
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/4,0.9963054187192119,0.003114938735961914,0.9961489088575096
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/5,0.9975339087546239,0.003019094467163086,0.9974358974358974
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/6,1.0,0.002005338668823242,1.0
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/7,1.0,0.0028235912322998047,1.0
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/8,0.9975429975429976,0.0027348995208740234,0.9974489795918368
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/9,0.9987684729064039,0.002392292022705078,0.998719590268886
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/0,0.7755856966707768,0.001046895980834961,0.8084210526315789
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/1,0.8928571428571429,0.0010006427764892578,0.8825910931174089
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/2,0.8943488943488943,0.0,0.8818681318681318
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/3,0.8780788177339901,0.0010502338409423828,0.8674698795180723
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/4,0.8891625615763546,0.0010025501251220703,0.8825065274151436
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/5,0.6831072749691739,0.001001119613647461,0.7227615965480043
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/6,0.7555282555282555,0.001112222671508789,0.7801104972375691
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/7,0.896551724137931,0.0005486011505126953,0.8873994638069705
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/8,0.9250614250614251,0.0010159015655517578,0.9158620689655173
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/9,0.8854679802955665,0.0016677379608154297,0.8761651131824234
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/0,0.9864364981504316,0.002003192901611328,0.9857328145265889
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/1,0.9901477832512315,0.0019998550415039062,0.9896907216494846
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/2,0.9803439803439803,0.001069784164428711,0.9791666666666666
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/3,0.9815270935960592,0.0013222694396972656,0.9804941482444733
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/4,0.9889162561576355,0.0010530948638916016,0.9883570504527813
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/5,0.9827373612823674,0.0005261898040771484,0.9817708333333334
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/6,0.9914004914004914,0.001013040542602539,0.9909677419354839
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/7,0.9876847290640394,0.0005295276641845703,0.9870801033591732
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/8,0.9815724815724816,0.0010094642639160156,0.980544747081712
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/9,0.9815270935960592,0.0015463829040527344,0.9804432855280313
